MB04FD EXAMPLE PROGRAM DATA
   T   I  8
    0.8147    0.6323    0.9575    0.9571
    0.9057    0.0975    0.9648    0.4853
    0.1269    0.2784    0.1576    0.8002
    0.9133    0.5468    0.9705    0.1418
    0.4217    0.6557    0.6787    0.6554    0.2769
    0.9157    0.0357    0.7577    0.1711    0.0461
    0.7922    0.8491    0.7431    0.7060    0.0971
    0.9594    0.9339    0.3922    0.0318    0.8234
    0.6948    0.4387    0.1868    0.7093
    0.3170    0.3815    0.4897    0.7546
    0.9502    0.7655    0.4455    0.2760
    0.0344    0.7951    0.6463    0.6797
    0.6550    0.9597    0.7512    0.8909    0.1492
    0.1626    0.3403    0.2550    0.9592    0.2575
    0.1189    0.5852    0.5059    0.5472    0.8407
    0.4983    0.2238    0.6990    0.1386    0.2542
