TG01AZ EXAMPLE PROGRAM DATA
  4    4     2     2     A   0.0
       (-1,0)       (0,0)       (0,0)  (0.003,0)
        (0,0)       (0,0)  (0.1000,0)   (0.02,0)
      (100,0)      (10,0)       (0,0)    (0.4,0)
        (0,0)       (0,0)       (0,0)    (0.0,0)
        (1,0)     (0.2,0)       (0,0)    (0.0,0)
        (0,0)       (1,0)       (0,0)  ( 0.01,0)
      (300,0)      (90,0)       (6,0)    (0.3,0)
        (0,0)       (0,0)      (20,0)    (0.0,0)
       (10,0)       (0,0)
        (0,0)       (0,0)
        (0,0)    (1000,0)
    (10000,0)   (10000,0)
     (-0.1,0)     (0.0,0)   (0.001,0)    (0.0,0)
      (0.0,0)    (0.01,0)  (-0.001,0) (0.0001,0)

