 TB01ID EXAMPLE PROGRAM DATA
   5     2     5       A    0.0
          0.0  1.0000e+000          0.0          0.0          0.0
 -1.5800e+006 -1.2570e+003          0.0          0.0          0.0
  3.5410e+014          0.0 -1.4340e+003          0.0 -5.3300e+011
          0.0          0.0          0.0          0.0  1.0000e+000
          0.0          0.0          0.0 -1.8630e+004 -1.4820e+000
          0.0          0.0
  1.1030e+002          0.0
          0.0          0.0
          0.0          0.0
          0.0  8.3330e-003
  1.0000e+000          0.0          0.0          0.0          0.0
          0.0          0.0  1.0000e+000          0.0          0.0
          0.0          0.0          0.0  1.0000e+000          0.0
  6.6640e-001          0.0 -6.2000e-013          0.0          0.0
          0.0          0.0 -1.0000e-003  1.8960e+006  1.5080e+002
