TG01FZ EXAMPLE PROGRAM DATA
  4    4     2     2     0.0    
    (-1,0)     (0,0)     (0,0)     (3,0)
     (0,0)     (0,0)     (1,0)     (2,0)
     (1,0)     (1,0)     (0,0)     (4,0)
     (0,0)     (0,0)     (0,0)     (0,0)
     (1,0)     (2,0)     (0,0)     (0,0)
     (0,0)     (1,0)     (0,0)     (1,0)
     (3,0)     (9,0)     (6,0)     (3,0)
     (0,0)     (0,0)     (2,0)     (0,0)
     (1,0)     (0,0)
     (0,0)     (0,0)
     (0,0)     (1,0)
     (1,0)     (1,0)
    (-1,0)     (0,0)     (1,0)     (0,0)
     (0,0)     (1,0)    (-1,0)     (1,0)
